content,style,method,colorfulness,colorfulness_delta,edge_iou,lpips_content
portrait2,Monet,Gatys,47.9095,29.4925,0.0137,0.4759
portrait2,Monet,AdaIN,,,,
portrait2,Monet,WCT,,,,
portrait2,Ukiyo-e_print,Gatys,54.4588,36.0417,0.0208,0.8897
portrait2,Ukiyo-e_print,AdaIN,,,,
portrait2,Ukiyo-e_print,WCT,,,,
city,Monet,Gatys,97.6085,-31.9480,0.1239,0.5822
city,Monet,AdaIN,,,,
city,Monet,WCT,,,,
city,Ukiyo-e_print,Gatys,85.4817,-44.0749,0.1393,0.6288
city,Ukiyo-e_print,AdaIN,,,,
city,Ukiyo-e_print,WCT,,,,
Still_Life,Monet,Gatys,76.2176,2.0116,0.0866,0.3637
Still_Life,Monet,AdaIN,,,,
Still_Life,Monet,WCT,,,,
Still_Life,Ukiyo-e_print,Gatys,55.9971,-18.2090,0.0614,0.7890
Still_Life,Ukiyo-e_print,AdaIN,,,,
Still_Life,Ukiyo-e_print,WCT,,,,
